Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[6, 54]",18,78,19,-5,56,30,-1
"[6, 55]",9,34,9,-10,61,20,13
"[6, 56]",16,55,16,7,51,30,1
"[6, 57]",14,39,14,8,48,28,6
"[6, 58]",12,23,17,0,1,21,-29
"[6, 59]",19,3,17,5,56,32,-1
"[6, 60]",20,35,18,-4,75,36,19
"[6, 61]",12,5,12,-62,33,23,16
"[6, 62]",11,1,12,-39,1,21,-29
"[6, 63]",17,74,15,7,4,32,14
"[6, 64]",16,10,16,-1,74,32,17
"[6, 65]",15,48,15,-4,79,25,-3
"[6, 66]",16,26,16,-5,65,30,-16
"[6, 67]",21,75,21,9,90,37,3
"[6, 68]",18,38,16,2,15,29,4
"[6, 69]",19,83,18,6,60,35,6
"[6, 70]",10,9,11,-20,3,19,15
"[6, 71]",14,47,16,8,6,24,-6
"[6, 72]",17,30,18,-8,60,31,6
"[6, 73]",12,17,14,-17,68,27,-21
"[6, 74]",14,57,14,-3,80,26,19
"[6, 75]",13,54,13,-6,44,24,-14
"[6, 76]",11,30,12,-8,29,21,8
"[6, 77]",15,30,16,-8,30,28,2
"[6, 78]",18,28,18,-10,60,33,6
"[6, 79]",19,60,21,-4,60,38,6
"[6, 80]",14,74,13,7,47,27,18
"[6, 81]",24,30,27,-8,81,39,15
"[6, 82]",15,72,17,-6,81,28,15
"[6, 83]",15,48,16,-4,59,26,6
"[6, 84]",18,66,16,-3,37,31,8
"[6, 85]",12,40,14,1,43,20,13
"[6, 86]",18,54,17,-6,81,36,15
"[6, 87]",21,75,22,9,1,33,-29
"[6, 88]",21,48,21,-4,40,35,11
"[6, 89]",21,8,20,1,47,34,18
"[6, 90]",15,49,15,-11,81,28,15
"[7, 8]",20,17,19,-17,17,33,-7
"[7, 9]",22,34,24,-10,34,42,0
"[7, 10]",20,83,18,6,18,37,10
"[7, 11]",11,82,12,5,89,22,14
"[7, 12]",16,76,18,-11,74,29,17
"[7, 13]",19,70,18,0,60,30,6
"[7, 14]",19,61,19,3,15,31,4
"[7, 15]",15,44,16,-24,40,31,11
"[7, 16]",15,74,16,7,74,27,17
"[7, 17]",18,47,18,8,61,30,13
"[7, 18]",15,53,15,-10,35,32,6
"[7, 19]",17,49,16,-11,76,29,-1
"[7, 20]",18,13,19,8,53,35,0
"[7, 21]",17,34,18,-10,13,29,18
"[7, 22]",18,46,17,2,20,32,14
"[7, 23]",13,50,13,-4,50,27,6
"[7, 24]",19,66,23,-3,66,32,7
"[7, 25]",16,89,16,4,37,33,8
"[7, 26]",14,89,17,4,40,26,11
"[7, 27]",16,51,14,-9,65,29,-16
"[7, 28]",14,49,14,-11,20,26,14
"[7, 29]",17,53,18,-10,53,37,0
"[7, 30]",18,74,19,7,23,29,10
"[7, 31]",18,49,23,-11,9,35,-10
"[7, 32]",21,28,22,-10,37,35,8
"[7, 33]",15,30,15,-8,51,29,1
"[7, 34]",16,81,17,5,30,26,2
"[7, 35]",20,38,18,2,62,31,-13
"[7, 36]",19,83,20,6,51,31,1
"[7, 37]",12,3,13,5,30,21,2
"[7, 38]",14,5,14,-62,10,25,9
"[7, 39]",20,85,20,6,85,33,16
"[7, 40]",26,20,24,4,20,43,14
"[7, 41]",11,65,15,-26,65,24,-16
"[7, 42]",11,2,14,-41,35,22,6
"[7, 43]",12,89,14,4,89,22,14
"[7, 44]",19,39,18,8,2,34,-31
"[7, 45]",14,51,14,-9,2,26,-31
"[7, 46]",16,54,16,-6,61,29,13
"[7, 47]",14,55,14,7,20,25,14
"[7, 48]",21,17,20,-17,23,33,10
"[7, 49]",14,1,14,-39,1,25,-29
"[7, 50]",10,47,11,8,1,19,-29
"[7, 51]",14,37,15,-2,3,30,15
"[7, 52]",16,17,17,-17,17,29,-7
"[7, 53]",12,3,12,5,3,21,15
"[7, 54]",20,11,19,3,11,33,13
"[7, 55]",19,61,20,3,23,32,10
"[7, 56]",16,1,15,-39,40,29,11
"[7, 57]",14,14,16,-1,53,29,0
"[7, 58]",25,69,25,9,53,40,0
"[7, 59]",20,39,19,8,61,31,13
"[7, 60]",20,23,21,0,48,34,6
"[7, 61]",18,10,17,-1,66,31,7
"[7, 62]",22,90,22,-7,59,36,6
"[7, 63]",13,14,16,-1,36,26,15
"[7, 64]",16,14,15,-1,34,27,0
"[7, 65]",12,29,13,-2,11,25,13
"[7, 66]",22,53,20,-10,23,39,10
"[7, 67]",11,34,15,-10,34,23,0
"[7, 68]",12,88,13,-16,88,23,-6
"[7, 69]",18,62,17,-23,15,33,4
"[7, 70]",16,17,17,-17,20,27,14
"[7, 71]",16,75,17,9,47,29,18
"[7, 72]",17,35,16,-4,35,32,6
"[7, 73]",14,15,14,-6,67,26,-1
"[7, 74]",16,55,19,7,66,27,7
"[7, 75]",14,60,15,-4,12,25,-27
"[7, 76]",16,35,17,-4,35,28,6
"[7, 77]",12,69,14,9,69,26,19
"[7, 78]",12,48,14,-4,72,21,4
"[7, 79]",24,68,21,-31,68,41,-21
"[7, 80]",14,56,14,-11,56,26,-1
"[7, 81]",18,47,21,8,3,37,15
"[7, 82]",5,34,8,-10,23,13,10
"[7, 83]",15,13,14,8,89,26,14
"[7, 84]",22,17,22,-17,17,40,-7
"[7, 85]",16,81,16,5,51,28,1
"[7, 86]",13,23,16,0,23,26,10
"[7, 87]",17,89,22,4,74,32,17
"[7, 88]",19,4,16,4,66,33,7
"[7, 89]",14,1,14,-39,16,24,19
"[7, 90]",20,20,19,4,81,34,15
"[8, 9]",19,87,19,-41,2,34,-31
"[8, 10]",27,11,22,3,81,44,15
"[8, 11]",23,74,23,7,74,41,17
"[8, 12]",21,49,19,-11,25,34,-38
"[8, 13]",26,11,24,3,69,42,19
"[8, 14]",20,87,20,-41,58,34,19
"[8, 15]",20,66,21,-3,4,32,14
"[8, 16]",15,36,16,5,89,25,14
"[8, 17]",17,60,16,-4,81,30,15
"[8, 18]",15,35,16,-4,54,31,4
"[8, 19]",15,78,15,-5,72,28,4
"[8, 20]",22,84,26,6,44,41,-14
"[8, 21]",14,3,16,5,57,28,7
"[8, 22]",18,45,19,-23,63,30,-3
"[8, 23]",15,50,14,-4,87,25,-31
"[8, 24]",14,63,15,-13,73,28,-3
"[8, 25]",12,56,16,-11,30,21,2
"[8, 26]",14,5,14,-62,51,24,1
"[8, 27]",16,3,19,5,3,28,15
"[8, 28]",11,6,13,-16,60,22,6
"[8, 29]",24,82,21,5,81,38,15
"[8, 30]",18,59,22,-4,59,32,6
"[8, 31]",14,63,15,-13,9,23,-10
"[8, 32]",16,8,16,1,61,31,13
"[8, 33]",16,87,18,-41,81,29,15
"[8, 34]",13,45,14,-23,1,22,-29
"[8, 35]",22,5,20,-62,46,33,12
"[8, 36]",22,74,22,7,74,38,17
"[8, 37]",16,12,15,-37,20,29,14
"[8, 38]",15,12,16,-37,26,25,5
"[8, 39]",15,11,22,3,11,34,13
"[8, 40]",22,2,19,-41,14,35,9
"[8, 41]",17,81,19,5,81,32,15
"[8, 42]",26,24,22,-16,5,41,-52
"[8, 43]",23,66,26,-3,66,39,7
"[8, 44]",17,71,21,6,61,33,13
"[8, 45]",16,48,19,-4,25,29,-38
"[8, 46]",23,61,23,3,87,43,-31
"[8, 47]",23,72,21,-6,72,37,4
"[8, 48]",19,1,18,-39,74,35,17
"[8, 49]",10,51,13,-9,49,21,-1
"[8, 50]",17,58,19,9,58,35,19
"[8, 51]",13,6,15,-16,59,26,6
"[8, 52]",15,37,15,-2,55,28,17
"[8, 53]",15,31,14,8,82,24,15
"[8, 54]",20,81,22,5,60,34,6
"[8, 55]",18,55,19,7,46,31,12
"[8, 56]",18,56,18,-11,87,32,-31
"[8, 57]",20,28,21,-10,28,35,0
"[8, 58]",18,14,19,-1,14,30,9
"[8, 59]",18,21,21,-33,3,36,15
"[8, 60]",19,66,18,-3,47,33,18
"[8, 61]",15,13,17,8,75,26,19
"[8, 62]",20,52,21,-12,68,34,-21
"[8, 63]",20,76,21,-11,52,34,-2
"[8, 64]",16,89,16,4,42,27,-22
"[8, 65]",15,34,19,-10,55,30,17
"[8, 66]",23,84,21,6,66,39,7
"[8, 67]",16,22,16,2,20,27,14
"[8, 68]",8,3,9,5,28,16,0
"[8, 69]",16,33,17,6,47,27,18
"[8, 70]",19,13,19,8,48,32,6
"[8, 71]",22,62,23,-23,84,38,16
"[8, 72]",22,31,21,8,46,36,12
"[8, 73]",15,21,14,-33,21,28,-23
"[8, 74]",18,84,18,6,84,36,16
"[8, 75]",20,3,19,5,3,34,15
"[8, 76]",10,87,11,-41,84,20,16
"[8, 77]",20,43,20,3,8,33,11
"[8, 78]",17,30,19,-8,75,30,19
"[8, 79]",13,66,13,-3,87,24,-31
"[8, 80]",17,11,18,3,62,28,-13
"[8, 81]",22,59,23,-4,33,38,16
"[8, 82]",16,89,19,4,89,31,14
"[8, 83]",13,50,13,-4,49,21,-1
"[8, 84]",10,83,12,6,83,20,16
"[8, 85]",17,34,16,-10,34,32,0
"[8, 86]",21,53,21,-10,34,41,0
"[8, 87]",18,89,18,4,89,32,14
"[8, 88]",23,54,20,-6,66,37,7
"[8, 89]",21,59,20,-4,74,36,17
"[8, 90]",19,30,19,-8,59,36,6
"[9, 10]",22,6,25,-16,3,36,15
"[9, 11]",14,8,17,1,8,23,11
"[9, 12]",10,62,12,-23,62,21,-13
"[9, 13]",17,16,17,9,10,27,9
"[9, 14]",21,64,18,-21,32,37,10
"[9, 15]",19,59,19,-4,4,36,14
"[9, 16]",16,9,16,-20,26,28,5
"[9, 17]",16,51,16,-9,51,26,1
"[9, 18]",14,40,15,1,56,28,-1
"[9, 19]",16,14,15,-1,32,32,10
"[9, 20]",32,61,29,3,17,51,-7
"[9, 21]",20,34,23,-10,51,34,1
"[9, 22]",18,26,18,-5,40,31,11
"[9, 23]",12,57,14,-3,43,21,13
"[9, 24]",17,66,19,-3,14,30,9
"[9, 25]",14,76,15,-11,76,29,-1
"[9, 26]",28,15,25,-6,51,45,1
"[9, 27]",11,4,11,4,74,25,17
"[9, 28]",23,58,22,9,53,38,0
"[9, 29]",14,51,15,-9,26,25,5
"[9, 30]",20,79,19,-13,11,32,13
"[9, 31]",15,40,17,1,40,31,11
"[9, 32]",10,22,11,2,41,19,-9
"[9, 33]",16,73,17,-13,90,26,3
"[9, 34]",25,34,26,-10,69,38,19
"[9, 35]",19,89,18,4,90,29,3
"[9, 36]",17,77,18,-7,81,28,15
"[9, 37]",13,51,12,-9,15,22,4
"[9, 38]",19,10,20,-1,54,32,4
"[9, 39]",13,85,14,6,23,24,10
"[9, 40]",19,75,20,9,30,31,2
"[9, 41]",14,4,14,4,81,24,15
"[9, 42]",21,2,20,-41,47,38,18
"[9, 43]",19,16,17,9,26,36,5
"[9, 44]",13,21,16,-33,21,25,-23
"[9, 45]",20,73,22,-13,33,33,16
"[9, 46]",22,5,19,-62,56,35,-1
"[9, 47]",23,89,21,4,89,38,14
"[9, 48]",20,74,17,7,30,34,2
"[9, 49]",10,59,12,-4,69,21,19
"[9, 50]",11,28,12,-10,28,21,0
"[9, 51]",15,62,18,-23,60,29,6
"[9, 52]",20,29,22,-2,11,36,13
"[9, 53]",22,17,21,-17,76,35,-1
"[9, 54]",19,30,20,-8,74,31,17
"[9, 55]",18,40,20,1,40,31,11
"[9, 56]",14,73,15,-13,51,26,1
"[9, 57]",12,30,14,-8,30,22,2
"[9, 58]",19,54,18,-6,74,30,17
"[9, 59]",12,9,17,-20,9,21,-10
"[9, 60]",18,81,18,5,70,29,10
"[9, 61]",21,2,21,-41,15,34,4
"[9, 62]",20,57,20,-3,75,34,19
"[9, 63]",16,34,15,-10,88,32,-6
"[9, 64]",14,3,15,5,20,25,14
"[9, 65]",23,4,24,4,89,38,14
"[9, 66]",15,2,14,-41,24,28,-6
"[9, 67]",13,15,15,-6,84,24,16
"[9, 68]",18,5,16,-62,13,31,18
"[9, 69]",23,30,22,-8,69,40,19
"[9, 70]",14,87,17,-41,87,26,-31
"[9, 71]",19,30,20,-8,58,33,19
"[9, 72]",18,37,15,-2,66,29,7
"[9, 73]",21,34,17,-10,52,34,-2
"[9, 74]",22,26,22,-5,26,39,5
"[9, 75]",17,12,19,-37,10,29,9
"[9, 76]",17,26,19,-5,27,28,-46
"[9, 77]",13,53,13,-10,58,25,19
"[9, 78]",14,33,16,6,49,27,-1
"[9, 79]",10,73,11,-13,32,21,10
"[9, 80]",18,59,20,-4,74,28,17
"[9, 81]",25,23,25,0,28,43,0
"[9, 82]",15,66,16,-3,66,31,7
"[9, 83]",15,89,16,4,58,28,19
"[9, 84]",17,60,17,-4,74,30,17
"[9, 85]",19,37,19,-2,78,36,5
"[9, 86]",23,12,19,-37,26,37,5
"[9, 87]",22,40,20,1,6,38,-6
"[9, 88]",17,24,18,-16,56,32,-1
"[9, 89]",24,62,24,-23,62,40,-13
"[9, 90]",27,61,23,3,47,42,18
"[10, 11]",17,31,16,8,35,27,6
"[10, 12]",22,10,21,-1,9,36,-10
"[10, 13]",22,54,22,-6,6,36,-6
"[10, 14]",19,53,20,-10,55,30,17
"[10, 15]",25,56,22,-11,35,41,6
"[10, 16]",25,47,23,8,48,41,6
"[10, 17]",25,1,23,-39,87,41,-31
"[10, 18]",14,58,15,9,56,24,-1
"[10, 19]",21,47,24,8,47,34,18
"[10, 20]",19,62,20,-23,1,34,-29
"[10, 21]",18,36,18,5,56,32,-1
"[10, 22]",31,11,29,3,65,53,-16
"[10, 23]",20,48,22,-4,1,33,-29
"[10, 24]",21,8,20,1,66,33,7
"[10, 25]",21,41,23,-19,41,36,-9
"[10, 26]",19,16,16,9,87,33,-31
"[10, 27]",20,71,19,6,69,36,19
"[10, 28]",11,79,14,-13,48,22,6
"[10, 29]",21,67,21,-11,67,34,-1
"[10, 30]",18,41,19,-19,61,31,13
"[10, 31]",26,18,23,0,47,45,18
"[10, 32]",13,62,13,-23,29,25,8
"[10, 33]",14,71,14,6,56,25,-1
"[10, 34]",16,74,18,7,51,27,1
"[10, 35]",16,16,17,9,64,33,-11
"[10, 36]",15,80,18,9,37,30,8
"[10, 37]",18,35,19,-4,48,31,6
"[10, 38]",17,26,18,-5,26,31,5
"[10, 39]",18,47,17,8,53,38,0
"[10, 40]",21,74,23,7,30,34,2
"[10, 41]",19,11,19,3,73,34,-3
"[10, 42]",14,33,14,6,33,28,16
"[10, 43]",13,40,14,1,82,24,15
"[10, 44]",21,25,22,-48,53,36,0
"[10, 45]",13,83,14,6,89,22,14
"[10, 46]",16,80,16,9,9,30,-10
"[10, 47]",15,36,15,5,72,27,4
"[10, 48]",19,76,19,-11,26,32,5
"[10, 49]",19,40,18,1,88,32,-6
"[10, 50]",15,50,20,-4,50,27,6
"[10, 51]",16,48,15,-4,11,24,13
"[10, 52]",21,56,19,-11,56,38,-1
"[10, 53]",19,44,21,-24,44,32,-14
"[10, 54]",20,22,19,2,76,35,-1
"[10, 55]",22,1,22,-39,15,35,4
"[10, 56]",23,44,24,-24,44,39,-14
"[10, 57]",25,52,25,-12,44,42,-14
"[10, 58]",17,7,18,7,75,28,19
"[10, 59]",15,80,16,9,40,29,11
"[10, 60]",22,89,20,4,81,35,15
"[10, 61]",17,53,19,-10,31,31,18
"[10, 62]",28,46,24,2,68,45,-21
"[10, 63]",18,71,19,6,71,33,16
"[10, 64]",18,48,22,-4,54,31,4
"[10, 65]",14,62,15,-23,34,25,0
"[10, 66]",16,56,19,-11,56,30,-1
"[10, 67]",21,83,19,6,75,35,19
"[10, 68]",16,37,18,-2,20,29,14
"[10, 69]",19,83,17,6,5,32,-52
"[10, 70]",18,71,21,6,53,33,0
"[10, 71]",10,68,11,-31,68,19,-21
"[10, 72]",13,40,14,1,20,25,14
"[10, 73]",15,14,19,-1,14,32,9
"[10, 74]",16,77,16,-7,14,30,9
"[10, 75]",22,66,22,-3,53,35,0
"[10, 76]",26,59,25,-4,66,42,7
"[10, 77]",17,37,19,-2,37,32,8
"[10, 78]",13,22,15,2,3,27,15
"[10, 79]",12,74,13,7,42,22,-22
"[10, 80]",18,34,17,-10,34,29,0
"[10, 81]",22,34,21,-10,34,38,0
"[10, 82]",11,66,12,-3,66,18,7
"[10, 83]",13,31,14,8,54,28,4
"[10, 84]",24,17,24,-17,22,44,12
"[10, 85]",20,36,18,5,37,32,8
"[10, 86]",13,4,13,4,4,23,14
"[10, 87]",21,14,19,-1,53,35,0
"[10, 88]",25,73,22,-13,3,41,15
"[10, 89]",19,10,20,-1,10,35,9
"[10, 90]",12,47,12,8,3,22,15
"[11, 12]",16,61,16,3,44,29,-14
"[11, 13]",13,1,14,-39,43,26,13
"[11, 14]",16,86,15,-14,13,28,18
"[11, 15]",20,65,21,-26,71,33,16
"[11, 16]",17,9,18,-20,58,32,19
"[11, 17]",15,76,16,-11,74,27,17
"[11, 18]",15,55,16,7,30,25,2
"[11, 19]",21,78,21,-5,78,38,5
"[11, 20]",25,15,28,-6,15,42,4
"[11, 21]",12,35,13,-4,58,22,19
"[11, 22]",19,54,19,-6,82,34,15
"[11, 23]",22,15,20,-6,54,38,4
"[11, 24]",16,56,15,-11,51,26,1
"[11, 25]",12,47,14,8,40,29,11
"[11, 26]",16,40,19,1,40,32,11
"[11, 27]",19,20,19,4,62,33,-13
"[11, 28]",15,44,18,-24,26,30,5
"[11, 29]",22,84,18,6,40,35,11
"[11, 30]",14,67,15,-11,60,26,6
"[11, 31]",17,86,16,-14,14,30,9
"[11, 32]",22,40,20,1,1,35,-29
"[11, 33]",18,71,18,6,34,32,0
"[11, 34]",17,34,17,-10,34,28,0
"[11, 35]",15,75,14,9,5,24,-52
"[11, 36]",24,72,22,-6,65,41,-16
"[11, 37]",19,50,20,-4,46,31,12
"[11, 38]",15,10,15,-1,30,28,2
"[11, 39]",15,74,16,7,69,26,19
"[11, 40]",24,20,24,4,88,39,-6
"[11, 41]",21,26,19,-5,41,38,-9
"[11, 42]",18,89,18,4,11,31,13
"[11, 43]",17,23,17,0,36,30,15
"[11, 44]",16,26,19,-5,51,27,1
"[11, 45]",12,57,16,-3,57,22,7
"[11, 46]",14,81,15,5,90,24,3
"[11, 47]",15,23,16,0,13,26,18
"[11, 48]",23,26,21,-5,65,44,-16
"[11, 49]",24,14,23,-1,14,37,9
"[11, 50]",20,75,20,9,49,31,-1
"[11, 51]",28,35,27,-4,60,44,6
"[11, 52]",11,40,12,1,12,24,-27
"[11, 53]",18,20,18,4,15,32,4
"[11, 54]",16,22,15,2,48,29,6
"[11, 55]",18,55,21,7,32,28,10
"[11, 56]",22,37,24,-2,37,38,8
"[11, 57]",11,59,12,-4,88,22,-6
"[11, 58]",14,10,15,-1,1,25,-29
"[11, 59]",14,81,15,5,48,24,6
"[11, 60]",12,46,16,2,8,22,11
"[11, 61]",17,29,17,-2,5,30,-52
"[11, 62]",14,2,14,-41,68,27,-21
"[11, 63]",17,68,18,-31,8,27,11
"[11, 64]",15,10,15,-1,71,29,16
"[11, 65]",18,88,18,-16,12,33,-27
"[11, 66]",20,74,19,7,47,35,18
"[11, 67]",22,53,20,-10,53,35,0
"[11, 68]",25,82,22,5,89,39,14
"[11, 69]",9,11,12,3,11,20,13
"[11, 70]",18,81,19,5,81,34,15
"[11, 71]",15,32,17,0,74,29,17
"[11, 72]",22,86,19,-14,26,37,5
"[11, 73]",20,46,19,2,48,34,6
"[11, 74]",16,26,16,-5,40,27,11
"[11, 75]",22,65,22,-26,52,43,-2
"[11, 76]",17,11,16,3,11,30,13
"[11, 77]",13,77,14,-7,19,22,11
"[11, 78]",14,30,16,-8,30,29,2
"[11, 79]",15,5,16,-62,5,30,-52
"[11, 80]",12,41,13,-19,61,23,13
"[11, 81]",22,86,20,-14,8,34,11
"[11, 82]",24,13,21,8,78,36,5
"[11, 83]",20,89,18,4,59,32,6
"[11, 84]",19,51,22,-9,22,35,12
"[11, 85]",15,14,14,-1,75,27,19
"[11, 86]",12,81,15,5,81,26,15
"[11, 87]",16,71,19,6,71,30,16
"[11, 88]",20,35,18,-4,76,34,-1
"[11, 89]",13,46,18,2,26,25,5
"[11, 90]",17,54,18,-6,56,29,-1
"[12, 13]",8,59,10,-4,59,16,6
"[12, 14]",13,22,16,2,22,26,12
"[12, 15]",31,66,26,-3,49,46,-1
"[12, 16]",21,15,21,-6,67,36,-1
"[12, 17]",20,18,19,0,20,32,14
"[12, 18]",22,83,22,6,21,39,-23
"[12, 19]",18,76,16,-11,33,30,16
"[12, 20]",15,25,16,-48,76,32,-1
"[12, 21]",13,15,15,-6,18,24,10
"[12, 22]",22,84,22,6,10,44,9
"[12, 23]",18,36,20,5,36,34,15
"[12, 24]",21,44,21,-24,4,37,14
"[12, 25]",12,24,15,-16,16,24,19
"[12, 26]",17,84,22,6,5,29,-52
"[12, 27]",10,9,11,-20,9,20,-10
"[12, 28]",20,6,22,-16,19,39,11
"[12, 29]",22,33,21,6,33,38,16
"[12, 30]",14,48,14,-4,70,27,10
"[12, 31]",17,46,18,2,17,28,-7
"[12, 32]",23,57,21,-3,74,38,17
"[12, 33]",24,89,27,4,37,39,8
"[12, 34]",25,22,34,2,22,47,12
"[12, 35]",19,82,18,5,20,34,14
"[12, 36]",18,34,19,-10,84,30,16
"[12, 37]",13,34,15,-10,32,22,10
"[12, 38]",17,47,18,8,18,30,10
"[12, 39]",20,48,20,-4,30,32,2
"[12, 40]",18,35,17,-4,89,32,14
"[12, 41]",18,74,19,7,74,36,17
"[12, 42]",17,54,16,-6,14,29,9
"[12, 43]",11,66,11,-3,66,18,7
"[12, 44]",14,10,15,-1,10,24,9
"[12, 45]",15,5,16,-62,49,25,-1
"[12, 46]",19,61,20,3,68,29,-21
